n,avg_memory
13620,794736
13630,794736
13640,794736
13650,794736
13660,794736
13670,794736
13680,794736
13690,794736
13700,794736
13710,794736
13720,794736
13730,794736
13740,794736
13750,794736
13760,794736
13770,794736
13780,794736
13790,794736
13800,794736
13810,794736
13820,794736
13830,794736
13840,794736
13850,794736
13860,794736
13870,794736
13880,794736
13890,794736
13900,794736
13910,794736
13920,794736
13930,794736
13940,794736
13950,794736
13960,794736
13970,794736
13980,794736
13990,794736
14000,794736
14010,794736
14020,794736
14030,794736
14040,794736
14050,794736
14060,794736
14070,794736
14080,794736
14090,794736
14100,794736
14110,794736
14120,794736
14130,794736
14140,794736
14150,794736
14160,794736
14170,794736
14180,794736
14190,794736
14200,794736
14210,794736
14220,794736
14230,794736
14240,794736
14250,794736
14260,794736
14270,794736
14280,794736
14290,794736
14300,794736
14310,794736
14320,794736
14330,794736
14340,794736
14350,794736
14360,794736
14370,794736
14380,794736
14390,794736
14400,794736
14410,794736
14420,794736
14430,794736
14440,794736
14450,794736
14460,794736
14470,794736
14480,794736
14490,794736
14500,794736
14510,794736
14520,794736
14530,794736
14540,794736
14550,794736
14560,794736
14570,794736
14580,794736
14590,794736
14600,794736
14610,794736
14620,794736
14630,794736
14640,794736
14650,794736
14660,794736
14670,794736
14680,794736
14690,794736
14700,794736
14710,794736
14720,794736
14730,794736
14740,794736
14750,794736
14760,794736
14770,794736
14780,794736
14790,794736
14800,794736
14810,794736
14820,794736
14830,794736
14840,794736
14850,794736
14860,794736
14870,794736
14880,794736
14890,794736
14900,794736
14910,794736
14920,794736
14930,794736
14940,794736
14950,794736
14960,794736
14970,794736
14980,794736
14990,794736
15000,794736
15010,794736
15020,794736
15030,794736
15040,794736
15050,794736
15060,794736
15070,794736
15080,794736
15090,794736
15100,794736
15110,794736
15120,794736
15130,794736
15140,794736
15150,794736
15160,794736
15170,794736
15180,794736
15190,794736
15200,794736
15210,794736
15220,794736
15230,794736
15240,794736
15250,794736
15260,794736
15270,794736
15280,794736
15290,794736
15300,794736
15310,794736
15320,794736
15330,794736
15340,794736
15350,794736
15360,794736
15370,794736
15380,794736
15390,794736
15400,794736
15410,794736
15420,794736
15430,794736
15440,794736
15450,794736
15460,794736
15470,794736
15480,794736
15490,794736
15500,794736
15510,794736
15520,794736
15530,794736
15540,794736
15550,794736
15560,794736
15570,794736
15580,794736
15590,794736
15600,794736
15610,794736
15620,794736
15630,794736
15640,794736
15650,794736
15660,794736
15670,794736
15680,794736
15690,794736
15700,794736
15710,794736
15720,794736
15730,794736
15740,794736
15750,794736
15760,794736
15770,794736
15780,794736
15790,794736
15800,794736
15810,794736
15820,794736
15830,794736
15840,794736
15850,794736
15860,794736
15870,794736
15880,794736
15890,794736
15900,794736
15910,794736
15920,794736
15930,794736
15940,794736
15950,794736
15960,794736
15970,794736
15980,794736
15990,794736
16000,794736
16010,794736
16020,794736
16030,794736
16040,794736
16050,794736
16060,794736
16070,794736
16080,794736
16090,794736
16100,794736
16110,794736
16120,794736
16130,794736
16140,794736
16150,794736
16160,794736
16170,794736
16180,794736
16190,794736
16200,794736
16210,794736
16220,794736
16230,794736
16240,794736
16250,794736
16260,794736
16270,794736
16280,794736
16290,794736
16300,794736
16310,794736
16320,794736
16330,794736
16340,794736
16350,794736
16360,794736
16370,794736
16380,794736
16390,1581168
16400,1581168
16410,1581168
16420,1581168
16430,1581168
16440,1581168
16450,1581168
16460,1581168
16470,1581168
16480,1581168
16490,1581168
16500,1581168
16510,1581168
16520,1581168
16530,1581168
16540,1581168
16550,1581168
16560,1581168
16570,1581168
16580,1581168
16590,1581168
16600,1581168
16610,1581168
16620,1581168
16630,1581168
16640,1581168
16650,1581168
16660,1581168
16670,1581168
16680,1581168
16690,1581168
16700,1581168
16710,1581168
16720,1581168
16730,1581168
16740,1581168
16750,1581168
16760,1581168
16770,1581168
16780,1581168
16790,1581168
16800,1581168
16810,1581168
16820,1581168
16830,1581168
16840,1581168
16850,1581168
16860,1581168
16870,1581168
16880,1581168
16890,1581168
16900,1581168
16910,1581168
16920,1581168
16930,1581168
16940,1581168
16950,1581168
16960,1581168
16970,1581168
16980,1581168
16990,1581168
17000,1581168
17010,1581168
17020,1581168
17030,1581168
17040,1581168
17050,1581168
17060,1581168
17070,1581168
17080,1581168
17090,1581168
17100,1581168
17110,1581168
17120,1581168
